0003F1DE,"SHOWROOM"
6AF7757F,"Recording courtesy of Midication"
6AFD159C,""
6B13BF53,"Copy that."
6B13BF54,"Copy that."
6B13BF55,"Copy that, advise if pursuit is escalated."
6B13BF56,"Copy, Dispatch advise of set response, over."
6B13BF57,"10-4, I copy that message."
6B13BF58,"10-6, Stand-by."
6B13BF59,"10-4, Dispatch, I'm having trouble with my MDC, I'm visual only."
6B13BF5A,"10-6, standby for update."
6B13BF5B,"10-6, will update on changes, over."
6B13BF73,"10-6, I'm going to need updates on radio only, my MDC is out."
6B13BF74,"10-4, Dispatch, if I go quiet it because I am running some radio problems, over."
6B156536,"Average {0:s} Speed Zones at {1:s}"
6B1C48D5,"DELETE"
6B4531A1,"You finished your Racer training. Now you can jump into Redview County."
6B6117DF,"Sixty-Six"
6B6A3597,"DIVIDE"
6B6F9B36,"Jump #{:d} {:s} {:d} Jumps collected {:d}/{:d}"
6B765E21,"{0:s} of {1:s} players ready."
6B78A439,"Dispatch, pursued vehicle is out of action."
6B78A43A,"I've shut this Racer down. Standing down from pursuit Code 3."
6B78A43B,"Control, I've got a wrecked 10-44 here. Requesting clean-up and tow at my location."
6B7DC791,"Damn cops are everywhere. I'm getting out of dodge."
6B7DC792,"Got cruisers all over me. I've got to split."
6B7DC793,"Got cops harassing me. I'm bailing."
6B7DC794,"I'm drawing too much heat. I'm out of here."
6B8D0B20,"Trigger {0:s} Speed Cameras while racing"
6B97F023,"Charger"
6B99D2F6,"Racing in an {0:~} with {1:d} Friend"
6B9AA8AF,"Open Map"
6BC61CDA,"I'm suppressing the suspect's systems. Move in. Move in."
6BC61CDB,"Racer's systems are down. Move in."
6BC61CDC,"Target's systems suppressed. Let's shut this guy down."
6BD1B174,""
6BEC7820,"Senior Director of Business Operations"
6BF5F47B,"Aborting pursuit."
6BF5F47C,"Dispatch, I'm dropping out of the chase."
6BF5F47D,"Dispatch, I'm pulling out of pursuit."
6BF5F47E,"Control, I am out of the pursuit. Returning to patrol duty."
6BF5F47F,"Pursuit aborted. Resuming patrol sweep."
6BF5F480,"Control, I'm no longer in pursuit of suspect vehicles."
6BF5F481,"Dispatch, I'm out of the hunt."
6BF5F482,"I'm dropping out, Control. Aborting pursuit."
6C02A600,"Code 3 suspect is moving along Grand Peak Drive."
6C02A601,"Racer is travelling fast on Grand Peak Drive"
6C11365E,"Copy that, where is the Code 3?"
6C11365F,"Copy that, I will respond to that call, over."
6C37D4B7,"Set your preferred keyboard configuration."
6C3BB6BF,"Cops are taking one of us in."
6C3BB6C0,"The Heat's reeling one us in."
6C3BB6C1,"Just ran past a cop busting one of our own."
6C3BB6C2,"Just spotted a Racer getting booked."
6C41BF1A,"XJ220"
6C4B9119,"We just shut one of them down."
6C4B911A,"We've just taken out a Racer."
6C4B911B,"An Interceptor just shut down a 10-44."
6C4B911C,"One of our units just took out a Racer."
6C67D6AE,"Total Oncoming: {0:s}/{1:s}"
6C684AF0,"All units, possible Code 3 pursuit on Eastwood Rise."
6C684AF1,"All units, am pursuing a 10-41 on Eastwood Rise, looks like a possible Code 3 pursuit."
6C684AF2,"All units, possible Code 3 pursuit. I have a speeding vehicle that's ignoring lights on Eastwood Rise."
6C684AF3,"Dispatch, Dispatch, alert all units, I have a 10-41  on Eastwood Rise."
6C7585DA,"PURSUIT TECH"
6C8F78C8,"Pagani Huayra"
6C93390E,"Sierra Leone"
6C999661,"Complete any {0:s}"
6C9F05E4,"I'm in pursuit of multiple high speed vehicles on Grapevine Drive. All nearby units move in to support."
6C9F05E5,"Requesting support in pursuit of multiple Racers on Grapevine Drive.  Dispatch please respond."
6CA662D7,"Challenge Won"
6CAA57A6,"Failure does not exist"
6CAE02BF,"Be advised, suspect is outrunning us."
6CAE02C0,"Dispatch, need assistance, I'm losing the Code 3 suspect."
6CAE02C1,"Dispatch, we need everyone you can send, or we're going to lose this suspect."
6CAE02C2,"Dispatch, is there a perimeter in place? This Code 3 suspect is outrunning us."
6CAE02C3,"Dispatch, we want this guy...we're going to need back up."
6CAE02C4,"Be advised, suspect is outrunning us."
6CAE02C5,"Suspect is getting away from me."
6CAE02C6,"I'm losing that Code 3 suspect, over."
6CAE02C7,"Suspect is pulling away."
6CAE02DF,"That suspect is getting away from me. Dispatch, Duty Sergeant has to clear us for a high speed pursuit."
6CAE02E0,"I'm losing that Code 3, over. He's pulling away."
6CAE02E1,"Suspect is pulling away. This guy knows what he's doing."
6D3EED85,"Driving in a {c0}{c1}"
6D4A9F0D,"Sunset Tunnel Reverse"
6D4A9F0E,"Test Race Short"
6D4A9F0F,"GrapeVine Drive"
6D4A9F10,"[HARD] Gullwing Drive"
6D4A9F11,"Driftwood Heights"
6D4A9F12,"[EASY] Last Stallion"
6D4A9F13,"Lagoon Gulwing"
6D4A9F14,"[HARD] Grapevine EastWood"
6D4A9F15,"[EASY] Lagoon Trail"
6D4A9F2D,"Stallion EastWood"
6D4A9F2E,"Eastwood Stallion"
6D4A9F2F,"[EASY] EastWood"
6D4A9F30,"Forest Run"
6D4A9F31,"Gullwing Reverse"
6D4A9F33,"[EASY] Laguna Rise"
6D4A9F34,"[MED] Riverside Run"
6D4A9F35,"[MED] Dead Tree Canyon"
6D4A9F36,"Interstate 01"
6D4A9F4E,"Grand Tour"
6D4A9F4F,"Interstate 04"
6D4A9F50,"[HARD] Interstate 04"
6D4A9F51,"[HARD] Coyote Pass"
6D4A9F52,"[EASY] Sunset Tunnel"
6D4A9F53,"Sun Valley Run"
6D4A9F54,"[MED] Pacific Woods"
6D4A9F55,"[MED] Gullwing Interstate"
6D4A9F56,"[MED] Grand Peak Drive"
6D4A9F6F,"[HARD] Fork Tongue Trail"
6D4A9F70,"[HARD] Sun Valley Run"
6D4A9F71,"[MED] Riverside Interstate"
6D4A9F72,"Pacific Woods 2"
6D4A9F73,"Coyote Pass 2"
6D4A9F74,"[EASY] Ignition"
6D4A9F75,"[EASY] Hammer Down"
6DB17EED,"You have been invited to play Need for Speed™ Rivals"
6DB32A81,"All units, possible Code 3 pursuit on Coyote Pass."
6DB32A82,"All units, am pursuing a 10-41 on Coyote Pass, looks like a possible Code 3 pursuit."
6DB32A83,"All units, possible Code 3 pursuit. I have a speeding vehicle that's ignoring lights on Coyote Pass."
6DB32A84,"Dispatch, Dispatch, alert all units, I have a 10-41 on Coyote Pass."
6DBDC7FC,"Pursuit time"
6DD49012,"Stun Mines are deployed behind your car, which if collided with overloads the vehicle's electrical systems causing damage and loss of control."
6DD49013,"Stun Mines are deployed behind your car, which if collided with overloads the vehicle's electrical systems causing damage and loss of control."
6DD49014,"Stun Mines are deployed behind your car, which if collided with overloads the vehicle's electrical systems causing damage and loss of control."
6DD49015,"Stun Mines are deployed behind your car, which if collided with overloads the vehicle's electrical systems causing damage and loss of control."
6DF313B5,"This is the last step to VRT"
6DF500F7,"Copy that, will advise back up of last known, over."
6DF500F8,"Copy that, advise of any updates."
6DF500F9,"Copy that, continue Code 3."
6DF500FA,"Copy that, continue on last known. Advise of sightings, over."
6DF500FB,"Copy that, am advising back up."
6DF500FC,"Copy that, Duty has requested they be kept advised, over."
6DF500FD,"All units en route, be advised visual on suspect has been lost. Continue Code 3 at this time, await updates, over."
6DF500FE,"Copy that, keep me advised, over."
6DF500FF,"Copy that, continue on current, advise of progress, over."
6DF50117,"Copy that."
6DF50118,"All units in Code 3 pursuit, visual lost on suspect, advise any contact, over."
6DF50119,"Code 3 pursuit units, Lead has lost visual. Advise of vehicles matching, over."
6DF5011A,"Be advised, visual on suspect lost. Continue Code 3 at this time."
6DF5011B,"Be advised, visual on suspect lost. Continue Code 3. Stand-by for further."
6DF5011C,"Copy that, continue on last known, will advise back up units, over."
6DF5011D,"I copy that, continue on current, advise if suspect is reacquired, over."
6DF5011E,"All units en route to Code 3, be advised visual on suspect has been lost. Advise of vehicles matching description, over."
6DF5011F,"Copy that, advise of updates."
6DF50120,"Copy that, continue Code 3. Advise is suspect is relocated."
6DF50138,"Copy that."
6DF50139,"Copy that, keep me advised, over."
6DF5013A,"Be advised, visual on suspect lost. Continue Code 3 at this time."
6DF5013B,"Be advised, visual on suspect lost. Continue Code 3. Stand-by for further."
6DF5013C,"Copy that, maintain last known and advise when relocated, over."
6DF5013D,"Copy that, back up will be advised."
6DF5013E,"Copy that, marking last known, will reroute back up."
6DF5013F,"All units in Code 3 pursuit, pursuing units have lost visual. Advise if you have contact with any vehicles matching, over."
6DF50140,"Code 3 pursuit units, Lead has lost visual, advise of any vehicles matching suspect's description, over."
6DFF04B6,"Dodge Charger SRT8 UC"
6DFF5597,"Dodge"
6E0650EB,"Change your email address"
6E08D9BD,"Choose your preferred language."
6E0BF938,"Officer, update requested for your current location?"
6E0BF939,"Officer, what is your current location, over?"
6E1ED40A,"Understood, supervisor has authorized further contact to end pursuit, over."
6E1ED40B,"10-4, any sign of pursuit slowing, over?"
6E1ED40C,"Understood, advise if damage slows suspect, over."
6E1ED40D,"Copy that, suspect vehicle is damaged, over."
6E3194BF,"A new enemy requires a sharper blade"
6E4F74ED,"EQUALS"
6E53D822,"SELECT A STORAGE DEVICE"
6E54D91D,"Timor-Leste"
6E5B6B5E,"FF"
6E5B90F3,"Driving in a {0:~}"
6E61B419,"Heading down Grapevine Drive. I'm going to take a look around."
6E61B41A,"Commencing patrol of Grapevine Drive"
6E61B41B,"I'm starting my patrol sweep along Grapevine Drive"
6E6355FD,"San Marino"
6E69C793,"ESC"
6E7274BC,"Bank a score of {0:s} in a single session"
6E789FDB,"To play this OverWatch challenge switch to the RACER Career"
6E8C3879,"CONTENT"
6E950AB1,"Recommendation has been set. Follow the Mini Map to find it."
6E997F69,"Control, we've taken damage."
6E997F6A,"We're taking hits."
6E997F6B,"We're under attack."
6E997F6C,"Sustaining damage."
6E997F6D,"Air-14 to all units. Be advised, we are suffering damage."
6EA6DECE,"EA Vancouver"
6EA7ED52,"th"
6EA974AF,"Drift {0:s}: {1:s}/{2:s}"
6EC261A7,"Unlocked via OverWatch"
6EC4583D,"Ferrari FF ENF"
6EC5AD99,"B2"
6ECEEE6D,"Bust a Racer"
6ECF6BF0,"M6 COUPÉ"
6ED9FB12,"Reached Cop Rank 20"
6EDC0481,"10-44 just forced a bystander in the wall."
6EDC0482,"10-44 just thrashed a civilian vehicle. Going to need a tow and clean up at my location."
6EDC0483,"One of these Racers just took out a civilian vehicle"
6EDC0484,"We've got a target wrecking traffic."
6EDF6514,"Cop Rank 20"
6EE7F1CE,"Get 10 Tracker or EMP hits"
6EEC0D41,"Player list"
6EF247EF,"Copy that, proceed to next search area."
6EF247F0,"Be advised, we have no reports of vehicle matching leaving perimeter. Continue search, over."
6EF247F1,"All search units, West 5 now clear, proceed to next search area."
6EF247F2,"Be advised, back up units are being routed to aid with search."
6EF247F3,"10-4, remain mobile, check MDC for update."
6EF247F4,"Copy that, MDC updated with cleared search area, over."
6EF247F5,"All search units, additional perimeter units are now in place, over."
6EF247F6,"Copy that, continue search, over."
6EF247F7,"Be advised, Duty Sergeant recommending units go Code 2 for search, over."
6EF2480F,"Be advised, back up units are Code 2."
6EF24810,"Copy that, go Code 2, over."
6EF24811,"Be advised, Traffic units have swept South of the perimeter and found no vehicles matching, over."
6EF24812,"Copy that, recommending check of all stationary vehicles, over."
6EF24813,"Be advised, back is reporting some gaps in the perimeter, we are reassigning units to keep suspect contained, over."
6EF24814,"Be advised, we have Roadblocks on key exit routes and are checking for vehicles matching."
6EF24815,"All units, MDC check, over."
6EF24816,"Copy that, continue search pattern and advise of sightings, over."
6EF24817,"Be advised, Lead is requesting units remain mobile, over."
6EF24818,"Be advised, Lead is at last known. No vehicles matching, revise standard search pattern, over."
6EF24830,"Copy that, we have units parallel to your position, over."
6EF24831,"Copy that. Advise of location, over."
6EF24832,"Code 3 back up, be advised you need to contact Lead when arriving at search location, over."
6EF24833,"Unit check, unit check, advise of current, over."
6EF24834,"Be advised, you have additional units approaching from the South."
6EF24835,"Copy that, Duty is requesting additional information from all units in sectors to the East, over."
6EF24836,"Unit check, unit check, advise Lead of your current, over."
6EF24837,"Be advised, additional units are being routed to your position, over."
6EF3126D,"Add stripes to give your car a racing feel."
6EF4030A,"Need for Speed™ Network. OverWatch level: {0:s}"
6F0C33ED,"NEW LIVERY"
6F0D5C01,"Development Director"
6F0D5C6D,"General Motors Trademarks used under license to Electronic Arts."
6F0D5C93,"HR Manager"
6F0D5DAB,"Quality Assurance"
6F0D9DF2,"I've got eyes on a known Street Racer exiting a building on Laguna Rise."
6F0D9DF3,"Control, I've got a known 10-44 just emerged onto Laguna Rise. Looks like they were holed nearby."
6F0F3793,"Reach Racer Rank 60"
6F27905F,"French Polynesia"
6F2DE621,"Systems jammed"
6F3858CF,"BMW M6 Coupé ENF"
6F5BEA45,"Stock"
6F64A1A4,"Reach Heat Level {0:s} in a Ferrari"
6F887D37,"NEW CAR UNLOCKED"
6F8A53F3,"You are not signed in with an active profile. You will not be able to save or load files to your Xbox 360 console without an active profile."
6F903A66,"Audio Director"
6F934D80,"Falkland Islands (Malvinas)"
6F950BE4,"Just ID'd a Street Racer emerging onto Driftwood Heights."
6F950BE5,"I've got eyes on a known Street Racer exiting a building on Driftwood Heights."
6F9D9F8A,"Senior Art Director"
6FAE9B22,"Deploy a Roadblock"
6FC4BC2C,"Be advised we have a new unit joining the dragnet."
6FC4BC2D,"All patrol cars, a new unit has just joined the dragnet."
6FC4BC2E,"New officer engaging in dragnet and offering support."
6FC4BC2F,"Another officer has joined the dragnet. All units coordinate to apprehend the target."
6FC4BC30,"Be advised, an additional support unit has joined the dragnet."
6FC4BC31,"A backup unit has joined the dragnet. All pursuing officers coordinate with new unit and close the net."
6FC4BC32,"Additional support now available to dragnet activities. All pursuing officers synchronize to apprehend target."
6FC4BC33,"Be advised an additional support unit is now assisting dragnet."
6FD11810,"OverWatch, Car repaired"
6FD441EA,"Suspected Racer spotted moving at high speed on Riverside Drive."
6FD441EB,"Control, I've identified a 10-41 on Riverside Drive."
6FD95991,"Driving in an {c0}{c1}"
6FDB2693,"Complete 2x Rank 5 Speedlists"
6FE85980,"Core Systems"
700F5745,"There are only two types of people on the midnights – cops and criminals."
700F5746,"You've got to be prepared for anything, especially with all the racers looking to make a name for themselves in our backyard."
700F5747,"People accuse us of using excessive force because we put people in the wall every now and then…"
700F5748,"but we aren't looking for a fair fight."
700F5749,"We have to win every single time we turn our lights on or the public loses faith that we can defend them."
700F574A,"They only live in peace because we are at war."
700F574B,"The bottom line is that fear commands respect, and if you endanger the ungrateful masses we protect, we will come at you with everything we've got."
70127CC9,"km"
701564DC,"One small step"
70195DD2,"OVERWATCH ROADBLOCK"
7024027D,"CHANGE FACTION?"
703092A0,"SpeedList"
70328598,"Fleeing in a {0:~} with {1:d} players"
7033D496,"Wrecks: {0:s}/{1:s}"
70559271,"B2"
7069FF98,"Your Speedwall time: {0:s}"
70712102,"Cop Tech countered: {0:s} of {1:s}"
70715729,"Complete 2x Rank 3 Speedlists"
7074201F,"This is an open manifesto to all street racers."
70742020,"I am not your enemy."
70742021,"I am not a threat."
70742022,"I am your rival."
70742023,"I will make you drive harder."
70742024,"I will give you purpose."
70742025,"The police have called us a ‘network of racers', and classified us as an ‘organized criminal enterprise'."
70742026,"Until today, this was a lie."
70742027,"Until today, we were not organized and we were not a coordinated network of outlaws."
7074203F,"But today the lie becomes true."
70750B04,"th"
70765153,"Create Account"
709A3457,"Ambient Occlusion"
70A3BCD8,"F1 LM"
70B188E3,"Dispatch, we have obstacles on the road, we're going to need units here."
70B188E4,"Dispatch, suspect's trying to block us, debris in the road."
70B188E5,"Watch for debris."
70B188E6,"Proceed with caution, 11-55, repeat 11-55."
70B188E7,"Watch for debris, he's trying to block us off."
70BE7272,"Lao People's Democratic Republic"
70BEB995,"Complete 2x Rank 13 Speedlists"
70C3C371,"Head of Development"
70C4F3DA,"Shock Ram"
70CF6123,"HBAO"
70CF7FA9,"High"
70D5B19F,"SSAO"
7109343E,"VENOM GT"
710CA9B7,"McLaren F1 LM ENF"
7110BBBB,"“Double Dutch”"
7110BBBC,"Performed by RDGLDGRN"
7110BBBD,"Written by Kevin Augunas, Andrei Busuioceanue, Pierre Desrosiers, Sam Hollander and Marcus Parham"
7110BBBE,"Published by Warner-Tamerlane Publishing Corp. and Universal Music Corp. o/b/o itself and Mayday Malone (ASCAP),"
7110BBBF,"Recording courtesy of Universal Records under license from Universal Music Entertainment"
712BB838,"Average Speed"
714E0735,"I'm getting a race going on Kingfisher Road."
714E0736,"New street race on Kingfisher Road. Form a line if you're in."
714E0737,"Need a couple more Racers on Kingfisher Road. We're trying to get a race going."
714E0738,"I'm setting up a new race on Kingfisher Road. Who's in?"
714FB5C6,"All units, proceed with caution. Debris on road from 10-44 Roadblock collision."
714FB5C7,"Target in T/C with Roadblock. Suspect is being apprehended."
714FB5C8,"Roadblock has immobilized a 10-44. All units move in and apprehend."
714FB5C9,"Roadblock has shut down a suspect vehicle. Move to detain target."
714FB5CA,"All units, be advised, Roadblock has halted the target."
7172211D,"Hennessey Venom GT ENF"
71788324,"{0:s} beat you in {0:s} with {0:s} {0:s} better than you. Beat their {0:s} to go {0:s} in your Speedwall."
7178999C,"{0:s} is top of the Speedwall with their first attempt of {0:s} finishing with a {0:s} better than you. Beat them to go {0:s}."
719185B2,"10-4 on that arrest, resume pursuit of remaining suspects."
719185B3,"Copy that. Several high speed targets remain at large in your area. Pursue and detain."
719185B4,"Good work. Resume pursuit of remaining targets in your area."
719185B5,"We copy that. Locate and detain all remaining 10-44s in your area."
719185B6,"10-4. We have reports of targets still moving at high speed in your area. You are cleared to pursue."
719185B7,"Arrest acknowledged and logged. Resume pursuit of remaining suspects."
719AF559,"I lost him, I lost him, suspect got away from me."
719AF55A,"Dispatch, I need a perimeter around my location. Suspect is clear and free, no visual."
719AF55B,"Dispatch, I just lost the suspect."
719AF55C,"All units, I've got an empty road, anyone else have eyes on the suspect?"
719C0BA1,"I have a 10-44 in progress on Pacific Woods with multiple Racers moving fast."
719C0BA2,"Dispatch, I have a street race in progress on Pacific Woods.  Requesting backup units to shut it down."
71C307BE,"VIP Matte Kit"
71C69086,"Perfect Tech hits against Cops: {0:s}/{1:s}"
71CCC7A5,"Quality Engineering Architect"
71EF8F50,"Reporter"
72081ECA,"Driving in a {0:~} with {1:d} Friends"
7212FA22,""
723728C0,"Exit Garage"
723D8EBA,"HIT BY SHOCKWAVE"
723D9603,"Dispatch, Racer has evaded the Roadblock and is still going, over."
723D9604,"Roadblock ineffective. Pursuit is still underway."
723D9605,"11-25 failed to stop the target.  Pursuit still on-going."
723D9606,"Negative on Roadblock, Racer went straight through us."
723D9607,"Roadblock breached, Racer blew straight by us."
723D9608,"Roadblock ineffective, Racer has gone by us."
723D9609,"Suspect past Roadblock."
723D960A,"Dispatch, suspect has breached our Roadblock, over."
723D960B,"Dispatch, inform back up. Roadblock has been ineffective, over."
72407FAF,"10-4. Air support is inbound."
72407FB0,"Roger that. 10-37 is on its way."
72407FB1,"Copy 10-37 request. Air ship is inbound."
72407FB2,"Any Air Unit responding, vehicle in pursuit of multiple 10-44s requesting backup."
72407FB3,"Officer in pursuit of multiple Racers calling in a 10-37. Air unit responding identify."
72407FB4,"Be advised, Air 1 is en route to your position."
72407FB5,"All units, Duty has assigned an air unit to assist, over."
72407FB6,"All units, Duty has escalated pursuit status and assigned an air unit to assist, over."
72407FB7,"All units, be advised, Air 1 has been assigned to assist in pursuit, over."
72407FCF,"All units, pursuit status has been escalated. Tac air unit now assigned, over."
72407FD0,"Be advised, you have a Tac air unit en route to intercept suspect, over."
72407FD1,"All units, Tac air has been assigned to the pursuit, over."
72407FD2,"Be advised, there is a Tac air unit en route to intercept Code 3, over."
725A1E69,"Combat"
7284090C,"DECALS"
7284CBB1,"NO AMMO: REFILL AT REPAIR SHOP"
72850E92,"Turbo. Increase your top speed and acceleration with this injection of black market nitros."
728C0ADC,"Beat {0:s} Sports cars or better in a Street car"
7298EBC6,"Password"
72BE5FDC,"{0:s} of {1:s} Super cars or better beaten in a Sports car"
72C576AE,"I got him. All units, move in for arrest."
72C576AF,"That did it. All available, move in to apprehend the suspect."
72C576B0,"Control, Code 3 suspect is incapacitated. Requesting Tow and clean up."
72C576B1,"Dispatch, Target vehicle is wrecked. I took him out."
72C576B2,"Be advised, Code 3 suspect is out of pursuit. Requesting clean up and tow."
72DFF72F,"Pursuit underway of multiple 10-44s on Last Stallion Ranch. Requesting support from any backup units in the area."
72DFF730,"I'm in pursuit of multiple high speed vehicles on Last Stallion Ranch. All nearby units move in to support."
72F6C6CA,"Hennessey Venom GT UC"
72F70CFA,"SHORTCUT"
72F717AB,"Hennessey"
7304BF6A,"Set Matchmaking to Private if you want to focus on Single Player.  However you will still receive updates from Autolog and can send invitations to Friends to join you into your world."
7306C6BD,"Your selected storage device has either been changed or is no longer available. You will need to select a storage device to be able to save or load player profile data."
73094048,"Stock"
73282561,"SRT Viper Time Attack"
73287642,"SRT"
7329BA95,"OverWatch, Pursuit Tech deplted"
732E38AB,"Night Call"
7349C3A9,"Complete 3x Rank 14 Speedlists"
73503786,"ANALYTICS"
73669F36,"Syrian Arab Republic"
7388408A,"ESCAPING COPS"
738BF810,"My ride's done."
738BF811,"Pulling out of the race."
738BF812,"My car's messed up. I'm out of the race."
739358D2,"Suit Up"
73A211DC,"Colombia"
73A6697F,"Director - Engineering"
73B12B5B," Interceptor"
73BCFB34,"Beat Personal Best Distance"
73C6A610,"I'm in pursuit of multiple high speed vehicles on Riverside Drive. All nearby units move in to support."
73C6A611,"Requesting support in pursuit of multiple Racers on Riverside Drive.  Dispatch please respond."
73EC382C,"XXX,XXX.XX"
73F0284C,"No Control"
73F2DBCC,"I will replace order with disorder"
73FB7028,"Start a  Race"
73FCAFCA,"Cops are falling behind"
74075AF2,"Pursuing Racers in an {0:~} with {1:d} Friends"
7410F348,"Your Turbo was countered by {0:s}"
741655C9,"Confirm the new password for your account"
743FE2E5,"Get a hit with with Pursuit Tech while driving in reverse"
74400D63,"Flat out, head first"
74641FF2,"We're headed along Eastwood Rise"
74641FF3,"Current direction is Eastwood Rise, over."
7478FB65,"Montserrat"
747C24D5,"WEB FORWARD"
749300D5,"All units, possible Code 3 pursuit on Driftwood Heights."
749300D6,"All units, am pursuing a 10-41 on Driftwood Heights, looks like a possible Code 3 pursuit."
749300D7,"All units, possible Code 3 pursuit on Driftwood Heights. I have a speeding vehicle that's ignoring lights."
749300D8,"Dispatch, Dispatch, alert all units, I have a 10-41  on Driftwood Heights."
74970AE2,"I couldn't lose them."
74970AE3,"I just got reeled in."
74970AE4,"Damn cop just jammed me up."
7497818B,"Festival"
74A01089,"Lead BI Platform Engineer"
74B3536F,"Dispatch, I have a suspected 10-44 on Laguna Rise."
74B35370,"Speeding vehicle spotted on Laguna Rise."
74BD599E,"Dispatch, I just lost power across all systems. Are you reading me?"
74BD599F,"Dispatch, my systems have just gone down, can you hear me, over?"
74BD59A0,"Dispatch, my engine just cut out and I've lost all power."
74BD59A1,"Control, everything on my car just shut down.  I'm a sitting duck."
74BD59A2,"Dispatch, my power is down.  Other units, come in?"
74BE05C3,"Ken Block"
74BFCEBA,"SRT Viper GTS"
74C01F9B,"SRT"
74C1B9BB,"Porsche Cayman S"
74C29895,"Perception is reality."
74C29896,"Law and order only exist as long as the public believes it."
74C29897,"Today they believe it less than yesterday."
74C29898,"They see racers defying the laws without consequence."
74C29899,"And when the laws no longer have teeth - when they become polite suggestions - society breaks down."
74C2989A,"The public accuses us of intimidation, but the truth is that show of force is preferable to use of force."
74C2989B,"And when show of force isn't enough to maintain order, sometimes you have to settle for the real thing."
74C81FB5,"OverWatch, Pursuit Tech refilled"
74C94841,"Game Leader"
74D6199C,"Lockdown a Racer above  Heat {0:s}"
74F0EE33,"Need for Speed™ Symbol"
7503D2B1,"This guy is putting his foot down. Still following."
7503D2B2,"That guy is pulling away. Control, do we have any available units in the area?"
7503D2B3,"Control, the suspect vehicle is gaining Distance. Still going Code 3."
7512CAC1,"Palestinian Territory"
7512E28F,"Accept"
753319BE,"Unlocked at Assignment 4"
75367DA6,"Unlocked at Assignment 17 ENF"
7542F6F7,"Unlocked at Assignment 2 UC"
757A18E5,"We are all out of control"
7582133F,"Just ID'd a Street Racer emerging onto Sunset Tunnel."
75821340,"I've got eyes on a known Street Racer exiting a building on Sunset Tunnel."
75895445,"Starting my patrol sweep of Riverside Drive."
75895446,"Patrolling Riverside Drive."
75895447,"Control, show me on patrol on Riverside Drive."
758A80CA,"System Engineer"
7598BB26,"Shock Wave hits: {0:s}/{1:s}"
75A10233,"ONE-77"
75BCCDC1,"Unable to retrieve your location.  Please try again later."
75BD739F,"Target vehicle is still out to get me...he's not getting away."
75BD73A0,"Suspect is still acting aggressively, and intent on damaging my vehicle."
75BD73A1,"Control, this 10-44 is trying to play dirty, but I've got it covered."
75BECB32,"Voice Chat Device"
75C67476,"Enter the new email address for your account"
75CE7F9F,"Senior Software Engineer"
75CFC116,"{0:s} is a rival that lives within the same city as you."
75CFE43D,"{0:s} is a mutual Friend."
75E74580,"I'm getting a race going on Grapevine Drive."
75E74581,"New street race on Grapevine Drive. Form a line if you're in."
75E74582,"Need a couple more Racers on Grapevine Drive. We're trying to get a race going."
75E74583,"I'm setting up a new race on Grapevine Drive. Who's in?"
75FF9B30,"Once you start earning Speedpoints you can buy upgrades to improve your vehicle performance."
7609096C,"10-4. Attempt to apprehend all suspects before race concludes."
7609096D,"Roger that. Endeavour to stop and detain all suspects while race is in progress."
7609096E,"Acknowledged. Attempt to capture all targets while race remains in motion."
7609096F,"Attempt to arrest all 10-44s while race is in progress."
76090970,"Copy that. Apprehend all 10-44s before race concludes."
76090971,"That's a clear copy. Shut down the race before it concludes."
76090972,"10-4. Apprehend all suspects before 10-44 concludes."
76090973,"Copy. Halt all suspects while race remains in motion."
7609EF12,"Aston Martin One-77 UC"
761118B4,"Carrera GT"
76120689,"Sesto"
76154BE9,"No Excuses"
76166515,"GT-R BLACK EDITION"
762B718D,"Just ID's a Racer on Grand Peak Drive. Looks like they were laying low in one of these buildings."
762B718E,"Be advised, I'm tracking a named suspect emerging onto Grand Peak Drive. I'm on him."
7638D382,"Home Cinema"
763A9C97,"EXTRAS"
763B3FC7,"Special Guest Beaten"
76478065,"Your online account has been temporarily disabled. Please go to support.ea.com to contact customer support."
764AA030,""
7650D2BF,"“Make Those Move”"
7650D2C0,"Performed by I Am Legion"
7650D2C1,"Written by Pavan Mukhi, Ebow Graham, Nick Roos, Martijn van Sonderen and Thijs de Vleiger"
7650D2C2,"Published by Primary Wave Brian/Touch Tones (BMI)"
7650D2C3,"Recording courtesy of Division Recordings & Par Excellence"
7652348C,"You must be signed in to Origin and the EA servers in order to view your invites.  Do you want to sign in now?"
7655C42C,"Officer reporting pursuit of Street Racers on Coyote Pass. All units respond."
7655C42D,"All units near Coyote Pass. Officer in pursuit of multiple targets requires assistance."
7655C42E,"Pursuit of Street Racers in progress on Coyote Pass. Pursuing officer is Code 3 and requests immediate backup."
767A2C00,"Control, I've spotted a street race on Eastwood Rise. Requesting support of additional units to intercept"
767A2C01,"Street race activity spotted on Eastwood Rise. Requesting support from units available in the vicinity."
767F51F4,"Nissan GT-R"
76B9EB2E,"Interceptors"
76BAF697,"PAGE DOWN"
76C65039,"Suspect has evaded pursuit, return to duty"
76D8F34C,"New Audi R8 Coupe V10 plus livery: Speed Up"
76F1F865,"CHANGE SPEEDLIST?"
76FBC95D,"Steering"
77008105,"Enter your city."
774AA7E4,"Aston Martin Vanquish ENF"
774AF8C5,"Aston Martin"
776CC6F7,"INSERT"
77710C87,"<Add name here>"
778E95E7,"Malaysia"
77A2DD0A,"Be advised, I'm tracking a named suspect emerging onto Troll Pass. I'm on him."
